Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Abelmoschus esculentus,okra,Plants,,Full datasheet,"crop,pest,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,,75,1,18,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/1950
Abelmoschus moschatus,musk mallow,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,89,3,30,0,,no data,,https://www.cabi.org/cpc/datasheet/1951; https://www.cabi.org/isc/datasheet/1951
Abraxas pantaria,light magpie,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,,3,1,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/1968
Abudefduf vaigiensis,,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacentridae,invasive,4,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/111971
Acacia,wattles,Plants,,Basic datasheet,"crop,pest,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,,13,1,8,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/1994
Acacia dealbata,acacia bernier,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,63,1,35,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2207; https://www.cabi.org/isc/datasheet/2207
Acacia decurrens,green wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,77,1,42,0,,no data,,https://www.cabi.org/cpc/datasheet/2208; https://www.cabi.org/isc/datasheet/2208
Acacia farnesiana,huisache,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,122,1,36,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2236; https://www.cabi.org/isc/datasheet/2236
Acacia karroo,sweet thorn,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,1,8,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2289; https://www.cabi.org/isc/datasheet/2289
Acacia longifolia,golden wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,56,2,36,0,,no data,,https://www.cabi.org/cpc/datasheet/2312; https://www.cabi.org/isc/datasheet/2312
