Achillea ptarmica
Acorus calamus
Acorus gramineus
Alisma lanceolatum
Alisma plantago-aquatica
Alisma subcordatum
Allium karataviense
Alocasia macrorrhizos
Anagallis tenella
Anemopsis californica
Aponogeton distachyos
Arum italicum
Azolla filiculoides
Bacopa caroliniana
Baldellia ranunculoides
Bletilla striata
Butomus umbellatus
Cabomba caroliniana 
Calla palustris
Caltha palustris
Canna indica
Cardamine pratensis
Carex acutiformis
Carex muskingumensis
Carex panicea
Carex paniculata
Carex pendula
Carex pseudocyperus
Carex riparia
Ceratophyllum demersum
Ceratophyllum submersum
Colocasia esculenta
Cotula coronopifolia
Crassula helmsii
Cyperus eragrostis
Cyperus involucratus
Cyperus longus
Darmera peltata
Egeria densa 
Eichhornia crassipes
Eleocharis acicularis
Eleocharis palustris
Elodea canadensis
Epipactis palustris
Equisetum fluviatile
Equisetum hyemale
Equisetum scirpoides
Eriophorum angustifolium
Eriophorum chamissonis
Erythranthe cuprea
Erythranthe guttata
Euphorbia palustre
Filipendula ulmaria
Fontinalis antipyretica
Fritillaria meleagris
Geranium palustre
Geum rivale
Glyceria maxima
Gratiola officinalis
Gunnera tinctoria
Hesperantha coccinea 
Hibiscus palustris
Hippuris vulgaris
Hottonia palustris
Houttuynia cordata
Hydrocharis morsus-ranae
Hydrocleys nymphoides 
Hydrocotyle novae-zeelandiae
Hydrocotyle vulgaris
Hypericum elodes
Iris ensata 
Iris laevigata
Iris pseudacorus 
Iris setosa
Iris sibirica
Iris versicolor
Isolepis cernua
Juncus effusus
Juncus ensifolius
Juncus inflexus
Lagarosiphon major
Lilaeopsis brasiliensis
Limnobium spongia
Lobelia cardinalis
Lobelia siphilitica
Lychnis flos-cuculi
Lysichiton americanus
Lysichiton camtschatcensis
Lysimachia nummularia 
Lysimachia thyrsiflora
Lythrum salicaria
Marsilea quadrifolia
Mazus reptans
Mentha aquatica
Mentha cervina 
Mentha pulegium
Menyanthes trifoliata
Mimulus ringens
Miscanthus zebrinus
Myosotis scorpioides 
Myriophyllum simulans
Myriophyllum crispatum
Myriophyllum
Myriophyllum spicatum
Nasturtium officinale 
Nuphar lutea
Nymphaea alba
Nymphaea tetragona
Nymphoides peltata
Oenanthe aquatica
Orontium aquaticum
Peltandra virginica
Persicaria amphibia
Persicaria bistorta
Petasites hybridus
Phragmites australis
Phyllanthus fluitans
Pistia stratiotes
Pontederia cordata
Potamogeton lucens
Potamogeton natans
Potamogeton perfoliatus
Potentilla palustris
Primula florindae
Primula rosea
Primula vialii
Ranunculus aquatilis
Ranunculus flammula
Ranunculus lingua
Rhynchospora colorata
Rorippa amphibia
Rotala indica
Rotala rotundifolia
Rumex sanguineus
Sagittaria graminea
Sagittaria latifolia
Sagittaria sagittifolia
Salvinia molesta
Sarracenia psittacina
Sarracenia purpurea
Saururus cernuus
Schoenoplectus lacustris 
Scirpus isolepsis
Sisyrinchium californicum
Sium latifolium 
Sparganium erectum
Stachys palustris
Stratiotes aloides
Symphytum officinale
Thalia dealbata
Thelypteris palustris 
Trapa natans
Tulbaghia violacea
Typha angustifolia
Typha latifolia
Typha laxmannii
Typha minima
Valeriana officinalis
Vallisneria
Veronica beccabunga
Zantedeschia aethiopica
Zephyranthes candida
