Family;Horticultural name;Taxon category;Confidence level determination;Retailer 1;Retailer 2;Retailer 3;Retailer 4;Retailer 5;Plant producer 1;Plant producer 2;Unknown Plant producer;Retailer 2*;Retailer 3*;Retailer 4;Retailer 5;Retailer 6;Retailer 7;Retailer 8;Retailer 9;Retailer 10;Retailer 11;Plant producer 1;Plant producer 2;Plant producer 3;Plant producer 4;Plant producer 5;Unknown Plant producer;Belgian Consensus List;Belgian Communication List;European Union List
Asteraceae;Achillea ptarmica;species;high;;x;x;x;x;;x;;;;x;x;;;;;;;;x;;;;;;;
Acoraceae;Acorus calamus;species;high;x;x;x;x;;x;x;;;;;;;x;x;;x;x;x;x;;;;;;;
Acoraceae;Acorus calamus 'Argenteostriatus';cultivar;high;x;x;;x;;x;x;;;;x;x;x;x;x;;x;;x;x;;;;;;;
Acoraceae;Acorus gramineus;species;high;x;x;x;x;x;x;x;;;;;;;x;;;;;;x;;;;;;;
Acoraceae;Acorus gramineus 'Hakuro-nishiki';cultivar;high;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;
Acoraceae;Acorus gramineus 'Ogon';cultivar;high;x;x;x;x;x;x;x;;;;;;;;x;x;;x;x;x;;;;;;;
Alismataceae;Alisma lanceolatum;species;high;;x;x;x;x;;x;;;;x;x;;x;;;x;;;x;;;;;;;
Alismataceae;Alisma plantago-aquatica;species;high;;x;x;x;x;;x;;;;x;;x;x;x;;;x;x;x;;;x;;;;
Alismataceae;Alisma subcordatum;species;high;x;;;x;x;x;x;;;;x;x;;;x;;x;;x;x;;;;;;;
Amaryllidaceae;Allium karataviense;species;high;;x;x;x;x;;x;;;;x;;;;;;;;;x;;;;;;;
Araceae;Alocasia macrorrhizos;species;high;;;;;;;;;;;;;;;;;;x;;x;;;;;;;
Primulaceae ;Anagallis tenella;species;high;;x;x;x;x;;x;;;;x;;;x;;x;;x;;x;;;;;;;
Saururaceae ;Anemopsis californica;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;x;;x;;x;;;;;;;
Aponogetonaceae;Aponogeton distachyos;species;high;x;;x;x;x;x;x;;;;x;x;;x;x;x;;x;x;x;;;;;;;
Araceae;Arum italicum;species;high;;x;x;x;x;;x;;;;x;x;;;;;;;;x;;;;;;;
Salviniaceae;Azolla filiculoides;species;medium;;x;;x;x;;x;;x;;x;;;;;;;;;x;;;;;;x;
Plantaginaceae;Bacopa caroliniana;species;high;;x;;x;;;x;;;;;;;x;;;;;;x;;;;;;;
Alismataceae;Baldellia ranunculoides;species;high;;x;;x;x;;x;;;;;x;;;x;;x;;;x;;;;;;;
Orchidaceae;Bletilla striata;species;high;x;x;;x;x;x;x;;;;x;x;;x;x;x;;x;x;x;;;;;;;
Orchidaceae;Bletilla striata 'Alba';cultivar;high;x;x;x;x;x;x;x;;;;x;x;;x;x;;;x;x;x;;;;;;;
Butomaceae ;Butomus umbellatus;species;high;x;x;x;x;x;x;x;;;;;x;;x;x;x;;x;x;x;;;;;;;
Cabombaceae;Cabomba caroliniana ;species;high;;x;;;;;x;;;;x;;;;;;;;;x;;;;;;;x
Araceae;Calla palustris;species;high;x;x;x;x;x;x;x;;;;;x;x;;;;x;x;;x;;;x;;;;
Ranunculaceae;Caltha palustris;species;high;x;x;x;x;x;x;x;;;;x;;;;x;;x;x;x;x;;;;;;;
Ranunculaceae;Caltha palustris 'Multiplex';cultivar;high;;x;x;x;x;;x;;;;x;;;;x;;;;x;x;;;;;;;
Ranunculaceae;Caltha palustris 'Alba';cultivar;high;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;
Cannaceae;Canna (unidentified cultivar or hybrid 1);cultivar or hybrid;low;;x;x;x;;;x;;;;x;x;;;;;;;;x;;;;;;;
Cannaceae;Canna (unidentified cultivar or hybrid 2);cultivar or hybrid;low;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Cannaceae;Canna (unidentified cultivar or hybrid 3);cultivar or hybrid;low;;;;;;;;;;;x;;;;;;;;;x;;;;;;;
Cannaceae;Canna 'Endeavour';hybrid;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Cannaceae;Canna indica;species;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Cannaceae;Canna 'Lucifer';hybrid;high;;;;;;;;;;;;;;;x;;;;x;;;;;;;;
