"URI","Label","Definition","Notation","Status","AcceptedDate","owl:sameAs"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1100","Open sea and tidal areas","","1100","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10002"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1110","Sandbanks which are slightly covered by sea water all the time","","1110","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10003"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1120","Posidonia beds (Posidonion oceanicae)","","1120","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10004"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1130","Estuaries","","1130","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10005"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1140","Mudflats and sandflats not covered by seawater at low tide","","1140","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10006"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1150","Coastal lagoons","","1150","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10007"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1160","Large shallow inlets and bays","","1160","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10008"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1170","Reefs","","1170","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10009"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1180","Submarine structures made by leaking gases","","1180","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10010"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1200","Sea cliffs and shingle or stony beaches","","1200","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10011"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1210","Annual vegetation of drift lines","","1210","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10012"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1220","Perennial vegetation of stony banks","","1220","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10013"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1230","Vegetated sea cliffs of the Atlantic and Baltic Coasts","","1230","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10014"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1240","Vegetated sea cliffs of the Mediterranean coasts with endemic Limonium spp","","1240","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10015"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1250","Vegetated sea cliffs with endemic flora of the Macaronesian coasts","","1250","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10016"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1300","Atlantic and continental salt marshes and salt meadows","","1300","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10017"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1310","Salicornia and other annuals colonizing mud and sand","","1310","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10018"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1320","Spartina swards (Spartinion maritimae)","","1320","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10019"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1330","Atlantic salt meadows (Glauco-Puccinellietalia maritimae)","","1330","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10020"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1340","Inland salt meadows","","1340","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10021"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1400","Mediterranean and thermo-Atlantic salt marshes and salt meadows","","1400","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10022"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1410","Mediterranean salt meadows (Juncetalia maritimi)","","1410","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10023"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1420","Mediterranean and thermo-Atlantic halophilous scrubs (Sarcocornetea fruticosi)","","1420","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10024"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1430","Halo-nitrophilous scrubs (Pegano-Salsoletea)","","1430","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10025"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1500","Salt and gypsum inland steppes","","1500","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10026"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1510","Mediterranean salt steppes (Limonietalia)","","1510","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10027"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1520","Iberian gypsum vegetation (Gypsophiletalia)","","1520","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10028"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1530","Pannonic salt steppes and salt marshes","","1530","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10029"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1600","Boreal Baltic archipelago, coastal and landupheaval areas","","1600","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10030"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1610","Baltic esker islands with sandy, rocky and shingle beach vegetation and sublittoral vegetation","","1610","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10031"
