taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
3089561,Centaurea cyanus,Cfa,Humid subtropical climate,972,57785,0.016820974301289263,2071-2100_Beck
3089561,Centaurea cyanus,Cfb,Temperate oceanic climate,34595,57785,0.598684779787142,2071-2100_Beck
3152379,Malva moschata,Cfb,Temperate oceanic climate,51438,72981,0.7048135816171333,2071-2100_Beck
5708806,Nasturtium officinale,Cfa,Humid subtropical climate,1792,38623,0.04639722445175155,2071-2100_Beck
7701037,Nasturtium officinale,Cfb,Temperate oceanic climate,24454,38623,0.6331460528700515,2071-2100_Beck
3152379,Malva moschata,Cfa,Humid subtropical climate,158,72981,0.002164947041010674,2071-2100_Beck
3089561,Centaurea cyanus,Cfb,Temperate oceanic climate,34595,57785,0.598684779787142,2001-2025-A1FI
3152379,Malva moschata,Cfb,Temperate oceanic climate,51438,72981,0.7048135816171333,2001-2025-A1FI
7701037,Nasturtium officinale,Cfb,Temperate oceanic climate,24454,38623,0.6331460528700515,2001-2025-A1FI
3089561,Centaurea cyanus,Cfb,Temperate oceanic climate,34595,57785,0.598684779787142,2026-2050-A1FI
3152379,Malva moschata,Cfb,Temperate oceanic climate,51438,72981,0.7048135816171333,2026-2050-A1FI
7701037,Nasturtium officinale,Cfb,Temperate oceanic climate,24454,38623,0.6331460528700515,2026-2050-A1FI
3089561,Centaurea cyanus,Cfa,Humid subtropical climate,972,57785,0.016820974301289263,2051-2075-A1FI
3089561,Centaurea cyanus,Cfb,Temperate oceanic climate,34595,57785,0.598684779787142,2051-2075-A1FI
3152379,Malva moschata,Cfb,Temperate oceanic climate,51438,72981,0.7048135816171333,2051-2075-A1FI
5708806,Nasturtium officinale,Cfa,Humid subtropical climate,1792,38623,0.04639722445175155,2051-2075-A1FI
7701037,Nasturtium officinale,Cfb,Temperate oceanic climate,24454,38623,0.6331460528700515,2051-2075-A1FI
3152379,Malva moschata,Cfa,Humid subtropical climate,158,72981,0.002164947041010674,2051-2075-A1FI
3089561,Centaurea cyanus,Cfa,Humid subtropical climate,972,57785,0.016820974301289263,2076-2100-A1FI
5708806,Nasturtium officinale,Cfa,Humid subtropical climate,1792,38623,0.04639722445175155,2076-2100-A1FI
7701037,Nasturtium officinale,Csa,Hot-summer Mediterranean climate,2477,38623,0.06413277062889988,2076-2100-A1FI
3152379,Malva moschata,Cfa,Humid subtropical climate,158,72981,0.002164947041010674,2076-2100-A1FI
3089561,Centaurea cyanus,Csa,Hot-summer Mediterranean climate,341,57785,0.005901185428744484,2076-2100-A1FI
3152379,Malva moschata,Csa,Hot-summer Mediterranean climate,107,72981,0.0014661350214439375,2076-2100-A1FI
3169358,Lysimachia thyrsiflora,Cfb,Temperate oceanic climate,29331,80643,0.36371414753915404,2071-2100_Beck
3053201,Rorippa amphibia,Cfb,Temperate oceanic climate,67675,71966,0.9403746213489703,2071-2100_Beck
3053201,Rorippa amphibia,Cfa,Humid subtropical climate,141,71966,0.001959258538754412,2071-2100_Beck
3169358,Lysimachia thyrsiflora,Cfa,Humid subtropical climate,31,80643,3.8441030219609883e-4,2071-2100_Beck
3169358,Lysimachia thyrsiflora,Cfb,Temperate oceanic climate,29331,80643,0.36371414753915404,2001-2025-A1FI
3053201,Rorippa amphibia,Cfb,Temperate oceanic climate,67675,71966,0.9403746213489703,2001-2025-A1FI
3169358,Lysimachia thyrsiflora,Cfb,Temperate oceanic climate,29331,80643,0.36371414753915404,2026-2050-A1FI
3053201,Rorippa amphibia,Cfb,Temperate oceanic climate,67675,71966,0.9403746213489703,2026-2050-A1FI
3169358,Lysimachia thyrsiflora,Cfb,Temperate oceanic climate,29331,80643,0.36371414753915404,2051-2075-A1FI
3053201,Rorippa amphibia,Cfb,Temperate oceanic climate,67675,71966,0.9403746213489703,2051-2075-A1FI
3053201,Rorippa amphibia,Cfa,Humid subtropical climate,141,71966,0.001959258538754412,2051-2075-A1FI
3169358,Lysimachia thyrsiflora,Cfa,Humid subtropical climate,31,80643,3.8441030219609883e-4,2051-2075-A1FI
3169358,Lysimachia thyrsiflora,Csa,Hot-summer Mediterranean climate,2,80643,2.480066465781283e-5,2076-2100-A1FI
3053201,Rorippa amphibia,Cfa,Humid subtropical climate,141,71966,0.001959258538754412,2076-2100-A1FI
3169358,Lysimachia thyrsiflora,Cfa,Humid subtropical climate,31,80643,3.8441030219609883e-4,2076-2100-A1FI
3053201,Rorippa amphibia,Csa,Hot-summer Mediterranean climate,159,71966,0.0022093766500847624,2076-2100-A1FI
5339050,Sherardia arvensis,Cfb,Temperate oceanic climate,35621,62927,0.5660686191936689,2071-2100_Beck
2718117,Carex riparia,Cfb,Temperate oceanic climate,57580,64431,0.893669196504788,2071-2100_Beck
2718117,Carex riparia,Cfa,Humid subtropical climate,93,64431,0.0014434045723331936,2071-2100_Beck
5339050,Sherardia arvensis,Cfa,Humid subtropical climate,8261,62927,0.13127910118073324,2071-2100_Beck
5339050,Sherardia arvensis,Cfb,Temperate oceanic climate,35621,62927,0.5660686191936689,2001-2025-A1FI
2718117,Carex riparia,Cfb,Temperate oceanic climate,57580,64431,0.893669196504788,2001-2025-A1FI
5339050,Sherardia arvensis,Cfb,Temperate oceanic climate,35621,62927,0.5660686191936689,2026-2050-A1FI
2718117,Carex riparia,Cfb,Temperate oceanic climate,57580,64431,0.893669196504788,2026-2050-A1FI
5339050,Sherardia arvensis,Cfb,Temperate oceanic climate,35621,62927,0.5660686191936689,2051-2075-A1FI
2718117,Carex riparia,Cfb,Temperate oceanic climate,57580,64431,0.893669196504788,2051-2075-A1FI
2718117,Carex riparia,Cfa,Humid subtropical climate,93,64431,0.0014434045723331936,2051-2075-A1FI
5339050,Sherardia arvensis,Cfa,Humid subtropical climate,8261,62927,0.13127910118073324,2051-2075-A1FI
5339050,Sherardia arvensis,Csa,Hot-summer Mediterranean climate,8845,62927,0.14055969615586314,2076-2100-A1FI
2718117,Carex riparia,Cfa,Humid subtropical climate,93,64431,0.0014434045723331936,2076-2100-A1FI
5339050,Sherardia arvensis,Cfa,Humid subtropical climate,8261,62927,0.13127910118073324,2076-2100-A1FI
2718117,Carex riparia,Csa,Hot-summer Mediterranean climate,370,64431,0.005742577330787975,2076-2100-A1FI
2882398,Ceratophyllum demersum,Cfa,Humid subtropical climate,1050,66019,0.015904512337357426,2071-2100_Beck
7553098,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,36733,60913,0.6030404018846551,2071-2100_Beck
2882398,Ceratophyllum demersum,Cfb,Temperate oceanic climate,48470,66019,0.7341825838016328,2071-2100_Beck
2710941,Schoenoplectus lacustris,Cfa,Humid subtropical climate,91,60913,0.0014939339714018355,2071-2100_Beck
7553098,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,36733,60913,0.6030404018846551,2001-2025-A1FI
2882398,Ceratophyllum demersum,Cfb,Temperate oceanic climate,48470,66019,0.7341825838016328,2001-2025-A1FI
7553098,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,36733,60913,0.6030404018846551,2026-2050-A1FI
2882398,Ceratophyllum demersum,Cfb,Temperate oceanic climate,48470,66019,0.7341825838016328,2026-2050-A1FI
2882398,Ceratophyllum demersum,Cfa,Humid subtropical climate,1050,66019,0.015904512337357426,2051-2075-A1FI
7553098,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,36733,60913,0.6030404018846551,2051-2075-A1FI
2882398,Ceratophyllum demersum,Cfb,Temperate oceanic climate,48470,66019,0.7341825838016328,2051-2075-A1FI
2710941,Schoenoplectus lacustris,Cfa,Humid subtropical climate,91,60913,0.0014939339714018355,2051-2075-A1FI
2882398,Ceratophyllum demersum,Cfa,Humid subtropical climate,1050,66019,0.015904512337357426,2076-2100-A1FI
2882398,Ceratophyllum demersum,Csa,Hot-summer Mediterranean climate,675,66019,0.010224329359729774,2076-2100-A1FI
2710941,Schoenoplectus lacustris,Csa,Hot-summer Mediterranean climate,541,60913,0.008881519544268055,2076-2100-A1FI
2710941,Schoenoplectus lacustris,Cfa,Humid subtropical climate,91,60913,0.0014939339714018355,2076-2100-A1FI
5361760,Myriophyllum spicatum,Cfb,Temperate oceanic climate,33165,52699,0.6293288297690658,2071-2100_Beck
5329266,Hydrocharis morsus-ranae,Cfb,Temperate oceanic climate,43863,66026,0.6643292036470482,2071-2100_Beck
5361760,Myriophyllum spicatum,Cfa,Humid subtropical climate,578,52699,0.010967950055978292,2071-2100_Beck
5329266,Hydrocharis morsus-ranae,Cfa,Humid subtropical climate,26,66026,3.937842668039863e-4,2071-2100_Beck
5361760,Myriophyllum spicatum,Cfb,Temperate oceanic climate,33165,52699,0.6293288297690658,2001-2025-A1FI
5329266,Hydrocharis morsus-ranae,Cfb,Temperate oceanic climate,43863,66026,0.6643292036470482,2001-2025-A1FI
5361760,Myriophyllum spicatum,Cfb,Temperate oceanic climate,33165,52699,0.6293288297690658,2026-2050-A1FI
5329266,Hydrocharis morsus-ranae,Cfb,Temperate oceanic climate,43863,66026,0.6643292036470482,2026-2050-A1FI
5361760,Myriophyllum spicatum,Cfb,Temperate oceanic climate,33165,52699,0.6293288297690658,2051-2075-A1FI
5329266,Hydrocharis morsus-ranae,Cfb,Temperate oceanic climate,43863,66026,0.6643292036470482,2051-2075-A1FI
5361760,Myriophyllum spicatum,Cfa,Humid subtropical climate,578,52699,0.010967950055978292,2051-2075-A1FI
5329266,Hydrocharis morsus-ranae,Cfa,Humid subtropical climate,26,66026,3.937842668039863e-4,2051-2075-A1FI
5361760,Myriophyllum spicatum,Cfa,Humid subtropical climate,578,52699,0.010967950055978292,2076-2100-A1FI
5329266,Hydrocharis morsus-ranae,Csa,Hot-summer Mediterranean climate,70,66026,0.001060188410626117,2076-2100-A1FI
5361760,Myriophyllum spicatum,Csa,Hot-summer Mediterranean climate,739,52699,0.014023036490255983,2076-2100-A1FI
5329266,Hydrocharis morsus-ranae,Cfa,Humid subtropical climate,26,66026,3.937842668039863e-4,2076-2100-A1FI
5403531,Crepis biennis,Cfb,Temperate oceanic climate,38646,56922,0.6789290608200695,2071-2100_Beck
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275,2071-2100_Beck
5403531,Crepis biennis,Cfa,Humid subtropical climate,44,56922,7.729875970626471e-4,2071-2100_Beck
2864467,Butomus umbellatus,Cfa,Humid subtropical climate,251,60018,0.0041820787097204175,2071-2100_Beck
5403531,Crepis biennis,Cfb,Temperate oceanic climate,38646,56922,0.6789290608200695,2001-2025-A1FI
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275,2001-2025-A1FI
5403531,Crepis biennis,Cfb,Temperate oceanic climate,38646,56922,0.6789290608200695,2026-2050-A1FI
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275,2026-2050-A1FI
5403531,Crepis biennis,Cfb,Temperate oceanic climate,38646,56922,0.6789290608200695,2051-2075-A1FI
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275,2051-2075-A1FI
5403531,Crepis biennis,Cfa,Humid subtropical climate,44,56922,7.729875970626471e-4,2051-2075-A1FI
2864467,Butomus umbellatus,Cfa,Humid subtropical climate,251,60018,0.0041820787097204175,2051-2075-A1FI
5403531,Crepis biennis,Cfa,Humid subtropical climate,44,56922,7.729875970626471e-4,2076-2100-A1FI
2864467,Butomus umbellatus,Cfa,Humid subtropical climate,251,60018,0.0041820787097204175,2076-2100-A1FI
2864467,Butomus umbellatus,Csa,Hot-summer Mediterranean climate,205,60018,0.0034156419740744444,2076-2100-A1FI
5403531,Crepis biennis,Csa,Hot-summer Mediterranean climate,37,56922,6.500122975299533e-4,2076-2100-A1FI
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2071-2100_Beck
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741,2071-2100_Beck
5301200,Potamogeton perfoliatus,Cfa,Humid subtropical climate,237,60695,0.003904769750391301,2071-2100_Beck
5289642,Apera spica-venti,Cfa,Humid subtropical climate,151,39227,0.0038493894511433453,2071-2100_Beck
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2001-2025-A1FI
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741,2001-2025-A1FI
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2026-2050-A1FI
