taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,157565,249712,0.6309868969052348,2071-2100_Beck
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,157565,249712,0.6309868969052348,2001-2025-A1FI
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,157565,249712,0.6309868969052348,2026-2050-A1FI
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,157565,249712,0.6309868969052348,2051-2075-A1FI
5285604,Pinus halepensis,Csa,Hot-summer Mediterranean climate,11181,26544,0.4212251356238698,2076-2100-A1FI
7164892,Olea europaea,Csa,Hot-summer Mediterranean climate,90504,142620,0.63458140513252,2076-2100-A1FI
5415040,Olea ,Csa,Hot-summer Mediterranean climate,3,3,1,2076-2100-A1FI
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,100291,200853,0.49932537726596066,2071-2100_Beck
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,141591,183295,0.772476063176846,2071-2100_Beck
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,148627,201537,0.7374675617876618,2071-2100_Beck
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,100291,200853,0.49932537726596066,2001-2025-A1FI
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,141591,183295,0.772476063176846,2001-2025-A1FI
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,148627,201537,0.7374675617876618,2001-2025-A1FI
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,100291,200853,0.49932537726596066,2026-2050-A1FI
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,141591,183295,0.772476063176846,2026-2050-A1FI
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,148627,201537,0.7374675617876618,2026-2050-A1FI
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,100291,200853,0.49932537726596066,2051-2075-A1FI
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,141591,183295,0.772476063176846,2051-2075-A1FI
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,148627,201537,0.7374675617876618,2051-2075-A1FI
3176459,Eucalyptus globulus,Cfb,Temperate oceanic climate,5441,20869,0.2607216445445397,2071-2100_Beck
6421862,Nerium oleander,Cfb,Temperate oceanic climate,25007,90947,0.27496234070392644,2071-2100_Beck
3176459,Eucalyptus globulus,Cfb,Temperate oceanic climate,5441,20869,0.2607216445445397,2001-2025-A1FI
6421862,Nerium oleander,Cfb,Temperate oceanic climate,25007,90947,0.27496234070392644,2001-2025-A1FI
3176459,Eucalyptus globulus,Cfb,Temperate oceanic climate,5441,20869,0.2607216445445397,2026-2050-A1FI
6421862,Nerium oleander,Cfb,Temperate oceanic climate,25007,90947,0.27496234070392644,2026-2050-A1FI
3176459,Eucalyptus globulus,Cfb,Temperate oceanic climate,5441,20869,0.2607216445445397,2051-2075-A1FI
6421862,Nerium oleander,Cfb,Temperate oceanic climate,25007,90947,0.27496234070392644,2051-2075-A1FI
3169756,Nerium oleander,Csa,Hot-summer Mediterranean climate,30329,90947,0.3334799388654931,2076-2100-A1FI
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,37559,62180,0.6040366677388228,2071-2100_Beck
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,24797,37030,0.669646232784229,2071-2100_Beck
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,37559,62180,0.6040366677388228,2001-2025-A1FI
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,24797,37030,0.669646232784229,2001-2025-A1FI
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,37559,62180,0.6040366677388228,2026-2050-A1FI
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,24797,37030,0.669646232784229,2026-2050-A1FI
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,37559,62180,0.6040366677388228,2051-2075-A1FI
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,24797,37030,0.669646232784229,2051-2075-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,19018,34233,0.5555458183623988,2071-2100_Beck
2925303,Lantana camara,Cfa,Humid subtropical climate,19631,54086,0.3629589912361794,2071-2100_Beck
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,19018,34233,0.5555458183623988,2001-2025-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,19018,34233,0.5555458183623988,2026-2050-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,19018,34233,0.5555458183623988,2051-2075-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,19631,54086,0.3629589912361794,2051-2075-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,19631,54086,0.3629589912361794,2076-2100-A1FI
6371424,Rhamnus alaternus,Csa,Hot-summer Mediterranean climate,14833,32030,0.46309709647205743,2076-2100-A1FI
2891661,Oxalis pes-caprae,Csa,Hot-summer Mediterranean climate,13531,42404,0.31909725497594565,2076-2100-A1FI
2952882,Bituminaria bituminosa,Csa,Hot-summer Mediterranean climate,16880,33957,0.49709927260947667,2076-2100-A1FI
2890560,Geranium lucidum,Cfb,Temperate oceanic climate,21172,31628,0.6694068546857215,2071-2100_Beck
7221288,Toxicodendron radicans,Cfa,Humid subtropical climate,18093,37350,0.48441767068273095,2071-2100_Beck
5285727,Pinus radiata,Cfb,Temperate oceanic climate,9149,23135,0.3954614220877458,2071-2100_Beck
2890560,Geranium lucidum,Cfb,Temperate oceanic climate,21172,31628,0.6694068546857215,2001-2025-A1FI
5285727,Pinus radiata,Cfb,Temperate oceanic climate,9149,23135,0.3954614220877458,2001-2025-A1FI
2890560,Geranium lucidum,Cfb,Temperate oceanic climate,21172,31628,0.6694068546857215,2026-2050-A1FI
