taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
3089561,Centaurea cyanus,Cfa,Humid subtropical climate,972,57785,0.016820974301289263
3089561,Centaurea cyanus,Cfb,Temperate oceanic climate,34595,57785,0.598684779787142
3152379,Malva moschata,Cfb,Temperate oceanic climate,51438,72981,0.7048135816171333
3089561,Centaurea cyanus,Dfb,Warm-summer humid continental climate,17967,57785,0.31092844163710304
5708806,Nasturtium officinale,Dfb,Warm-summer humid continental climate,4708,38623,0.12189627941899904
3152379,Malva moschata,Csb,Warm-summer Mediterranean climate,473,72981,0.006481138926569929
3089561,Centaurea cyanus,Dfc,Subarctic climate,1634,57785,0.028277234576447177
5708806,Nasturtium officinale,NA,NA,326,38623,0.008440566501825337
5708806,Nasturtium officinale,BSk,Cold semi-arid (steppe) climate,951,38623,0.0246226341817052
5708806,Nasturtium officinale,Csb,Warm-summer Mediterranean climate,1842,38623,0.047691789866141934
5708806,Nasturtium officinale,Cfa,Humid subtropical climate,1792,38623,0.04639722445175155
3152379,Malva moschata,Dfb,Warm-summer humid continental climate,18425,72981,0.2524629698140612
7701037,Nasturtium officinale,Dfa,Hot-summer humid continental climate,607,38623,0.015716024130699325
3152379,Malva moschata,ET,Tundra,173,72981,0.002370479987942067
3152379,Malva moschata,NA,NA,175,72981,0.002397884380866253
5708806,Nasturtium officinale,BSh,Hot semi-arid (steppe) climate,247,38623,0.0063951531470885226
7701037,Nasturtium officinale,Cfb,Temperate oceanic climate,24454,38623,0.6331460528700515
7701037,Nasturtium officinale,ET,Tundra,115,38623,0.0029775004530978953
3089561,Centaurea cyanus,NA,NA,182,57785,0.0031496062992125984
3089561,Centaurea cyanus,Cfc,Subpolar oceanic climate,35,57785,6.056935190793458e-4
7701037,Nasturtium officinale,Csa,Hot-summer Mediterranean climate,2477,38623,0.06413277062889988
7701037,Nasturtium officinale,Dsc,Dry-summer regular subarctic climate,23,38623,5.95500090619579e-4
3089561,Centaurea cyanus,ET,Tundra,177,57785,0.0030630786536298346
3152379,Malva moschata,Dfc,Subarctic climate,1632,72981,0.02236198462613557
3089561,Centaurea cyanus,Dfa,Hot-summer humid continental climate,414,57785,0.007164489054252834
5708806,Nasturtium officinale,Dsb,"Warm, dry-summer continental climate",108,38623,0.0027962612950832404
3089561,Centaurea cyanus,Cwa,Monsoon-influenced humid subtropical climate,16,57785,2.768884658648438e-4
3089561,Centaurea cyanus,Csb,Warm-summer Mediterranean climate,851,57785,0.01472700527818638
7701037,Nasturtium officinale,Aw,"Tropical savanna, wet",57,38623,0.0014758045724050436
3152379,Malva moschata,Cfa,Humid subtropical climate,158,72981,0.002164947041010674
5708806,Nasturtium officinale,Cfc,Subpolar oceanic climate,24,38623,6.213913989073868e-4
3152379,Malva moschata,Dfa,Hot-summer humid continental climate,127,72981,0.0017401789506857948
7701037,Nasturtium officinale,BWk,Cold desert climate,103,38623,0.0026668047536442018
3089561,Centaurea cyanus,Csa,Hot-summer Mediterranean climate,341,57785,0.005901185428744484
7701037,Nasturtium officinale,Cwa,Monsoon-influenced humid subtropical climate,103,38623,0.0026668047536442018
7701037,Nasturtium officinale,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,233,38623,0.006032674831059214
7701037,Nasturtium officinale,Dfc,Subarctic climate,181,38623,0.004686326800093209
3152379,Malva moschata,Cfc,Subpolar oceanic climate,197,72981,0.002699332703032296
7701037,Nasturtium officinale,Af,Tropical rainforest climate,82,38623,0.002123087279600238
3089561,Centaurea cyanus,Dsb,"Warm, dry-summer continental climate",144,57785,0.0024919961927835944
3089561,Centaurea cyanus,Dwc,Monsoon-influenced subarctic climate,23,57785,3.9802716968071296e-4
7701037,Nasturtium officinale,Dwa,Monsoon-influenced hot-summer humid continental climate,36,38623,9.320870983610802e-4
7701037,Nasturtium officinale,Dwb,Monsoon-influenced warm-summer humid continental climate,5,38623,1.294565414390389e-4
